id_nodo,distrito,lat_mean,lon_mean,count
272,CARABAYLLO,-11.784404394323767,-76.95123074295816,331
273,SANTA CRUZ DE FLORES,-12.59761086600243,-76.62151785911416,121
274,SAN JUAN DE LURIGANCHO,-11.908081512621278,-76.97309882157833,2033
275,SAN JUAN DE MIRAFLORES,-12.189139346460745,-76.97793070210166,2636
276,SAYAN,-11.212979087545358,-77.41894580905382,82
277,LA VICTORIA,-12.064960834995855,-77.02862970066475,3535
278,PUENTE PIEDRA,-11.934160608205532,-77.0935146159252,1239
279,MIRAFLORES,-12.124239102465994,-77.01146283456154,4389
280,VILLA MARIA DEL TRIUNFO,-12.223665256987555,-76.91773636204834,2395
281,INDEPENDENCIA,-11.99112243176885,-77.05236484972086,3283
282,IMPERIAL,-13.046300189762887,-76.37385680129526,555
283,SAN LUIS,-12.07890598200107,-76.98987430882269,2574
284,INDEPENDENCIA,-11.979679583519951,-77.03927126309185,2662
285,SAN JUAN DE LURIGANCHO,-12.009320314244286,-76.98947701975487,2286
286,HUARAL,-11.321605814325828,-76.81054882869405,24
287,SAN VICENTE DE CAÑETE,-13.22164183273474,-76.31361313974622,209
288,LA MOLINA,-12.084078979978328,-76.93896238847552,976
289,LIMA,-12.140088937626066,-76.80714809225117,385
290,SAN DAMIAN,-11.896734287705003,-76.25595660720444,16
291,LOS OLIVOS,-11.922774919533891,-77.07477246935657,2094
292,AYAUCA,-12.59105384587689,-76.05326642408099,21
293,SANTA ROSA DE QUIVES,-11.666555780411146,-76.80300322135736,24
294,CARABAYLLO,-11.818603481995117,-76.99500525427919,557
295,MIRAFLORES,-12.113423015636918,-77.0449240924343,4042
296,BARRANCA,-10.801247444867714,-77.67713928787951,107
297,PACHACAMAC,-12.22277843222366,-76.84402183836026,729
298,SAN JUAN DE LURIGANCHO,-11.914480676095549,-76.93920676861873,1045
299,CHANCAY,-11.588554465449977,-77.25969080161433,410
300,SAYAN,-11.131133063967761,-77.18573330103862,104
301,BREÑA,-12.055129456306044,-77.05328475069871,3444
302,JESUS MARIA,-12.081428583589636,-77.05056530199798,3129
303,SANTIAGO DE SURCO,-12.119591479175538,-76.97537094601799,2410
